Ensembl_Gene_ID	Chromosome_Name	Gene_Start_bp	Gene_End_bp	HGNC_ID	HGNC_symbol
ENSG00000088888	20	3846799	3876123	HGNC:29233	MAVS
ENSG00000248545	4	25608711	25619468		
ENSG00000226975	Y	10169788	10170314		
ENSG00000230025	Y	8971751	8974095		
ENSG00000262993	CHR_HSCHR17_1_CTG4	41401024	41404892	HGNC:6448	KRT31
ENSG00000165475	13	20403667	20525857	HGNC:18246	CRYL1
ENSG00000214132	5	20304045	20305448		
ENSG00000270702	15	41718370	41718672		
ENSG00000230995	CHR_HSCHR6_MHC_COX_CTG1	30590243	30608455	HGNC:9284	PPP1R10
ENSG00000229328	CHR_HSCHR6_MHC_DBB_CTG1	29044223	29045250	HGNC:8281	OR2W1
ENSG00000224507	CHR_HSCHR6_MHC_SSTO_CTG1	32397896	32401073	HGNC:19713	HCG23
ENSG00000242386	CHR_HSCHR6_MHC_MCF_CTG1	32968079	32986577	HGNC:4935	HLA-DMB
ENSG00000228809	20	16714844	16730948		
ENSG00000154930	20	25006230	25058980	HGNC:16091	ACSS1
ENSG00000242854	Y	24179316	24183505	HGNC:35171	DNM1P24
ENSG00000173848	10	5412551	5458463	HGNC:14592	NET1
ENSG00000234196	CHR_HSCHR6_MHC_MCF_CTG1	31976089	31978474	HGNC:19066	ZBTB12
ENSG00000275938	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54832765	54848078	HGNC:6336	KIR2DS4
ENSG00000238203	CHR_HSCHR6_MHC_APD_CTG1	31832609	31844312	HGNC:13939	VWA7
ENSG00000237616	Y	17995201	17997252	HGNC:38776	USP9YP32
ENSG00000277979	9	41652895	41652973		
ENSG00000141437	18	31759562	31760880	HGNC:23324	SLC25A52
ENSG00000278821	CHR_HSCHR19KIR_G248_A_HAP_CTG3_1	54769815	54784318	HGNC:6329	KIR2DL1
ENSG00000004848	X	25003694	25015948	HGNC:18060	ARX
ENSG00000271429	13	40224625	40224862	HGNC:49100	RPL17P51
ENSG00000224033	Y	18022299	18023908	HGNC:23855	CDY8P
ENSG00000125870	20	16729961	16742563	HGNC:11155	SNRPB2
ENSG00000271652	13	54116476	54116851		
ENSG00000275468	19	2013728	2014656		
ENSG00000230710	13	40181809	40189028	HGNC:42049	LINC00332
ENSG00000206283	CHR_HSCHR6_MHC_QBL_CTG1	33218133	33227229	HGNC:4926	PFDN6
ENSG00000271395	13	89551233	89552389		
ENSG00000249234	4	16178939	16183120		
ENSG00000154642	21	17788967	17819386	HGNC:16459	C21orf91
ENSG00000274785	CHR_HSCHR19_4_CTG3_1	54336291	54339453		
ENSG00000224552	CHR_HSCHR6_MHC_MANN_CTG1	31726403	31742871	HGNC:13921	ABHD16A
ENSG00000266613	18	8412129	8414304	HGNC:31900	RFWD2P1
ENSG00000215548	9	63832127	63859641		
ENSG00000234787	13	54115783	54132866	HGNC:42807	LINC00458
ENSG00000228835	18	32769795	32774413		
ENSG00000100023	22	21652270	21700015	HGNC:9261	PPIL2
ENSG00000271507	15	22202392	22202734		
ENSG00000235822	13	31985685	31990997	HGNC:49114	LINC01073
ENSG00000274801	CHR_HSCHR15_1_CTG8	28332230	28336599		
ENSG00000248962	5	4012708	4013649		
ENSG00000275795	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54799171	54811528		
ENSG00000278772	13	40194509	40220502	HGNC:43683	LINC00548
ENSG00000264924	18	24113637	24121003		
ENSG00000265094	18	24435364	24439638		
ENSG00000223704	22	26858634	26865786		
ENSG00000275149	13	40079106	40273509		
ENSG00000237990	3	3039033	3061145	HGNC:39985	CNTN4-AS1
ENSG00000231593	X	52561769	52562301		
ENSG00000171987	11	4571423	4577820	HGNC:23986	C11orf40
ENSG00000146618	7	19144782	19145421	HGNC:16660	FERD3L
ENSG00000147027	X	34627064	34657288	HGNC:18515	TMEM47
ENSG00000228739	9	6047360	6066714		
ENSG00000198814	X	30653359	30731456	HGNC:4289	GK
ENSG00000271855	2	9555899	9556775		
ENSG00000197705	18	32672671	32773062	HGNC:29266	KLHL14
ENSG00000215375	4	673580	682033	HGNC:7586	MYL5
ENSG00000196143	14	19180291	19181269	HGNC:29997	OR11H13P
ENSG00000225060	CHR_HSCHR6_MHC_MCF_CTG1	30754873	30766379	HGNC:29413	PPP1R18
ENSG00000225007	22	19667023	19667555		
ENSG00000229442	18	8486997	8513849	HGNC:49196	THEMIS3P
ENSG00000274113	CHR_HSCHR19_4_CTG3_1	54315100	54321156	HGNC:16309	LILRA5
ENSG00000139190	12	6462237	6470987	HGNC:12642	VAMP1
ENSG00000220685	6	5065795	5066982		
ENSG00000188365	7	5419846	5423122		
ENSG00000233926	9	81689713	81776900		
ENSG00000223775	CHR_HSCHR6_MHC_SSTO_CTG1	30609932	30618618	HGNC:14516	MRPS18B
ENSG00000262767	CHR_HSCHR1_1_CTG31	153713833	153714877	HGNC:49561	GEMIN2P1
ENSG00000133243	19	1985438	2034881	HGNC:15504	BTBD2
ENSG00000235102	20	41331123	41331660		
ENSG00000230045	8	7256904	7259914	HGNC:32263	FAM90A15P
ENSG00000262994	CHR_HSCHR1_1_CTG31	153734523	153735546		
ENSG00000230925	9	33909609	33911122		
ENSG00000145990	6	13357830	13487662	HGNC:21096	GFOD1
ENSG00000228878	7	35751856	35800616		
ENSG00000220391	CHR_HSCHR6_MHC_QBL_CTG1	29917179	29918169	HGNC:22919	HCG4B
ENSG00000215371	8	7373114	7377500	HGNC:30847	DEFB108P2
ENSG00000249994	5	4033713	4041764		
ENSG00000224526	CHR_HSCHR6_MHC_QBL_CTG1	29917655	29920429	HGNC:4969	HLA-K
ENSG00000234686	7	49230137	49254816		
ENSG00000211660	22	22697789	22698407	HGNC:5890	IGLV2-23
ENSG00000205502	15	62163535	62165283	HGNC:33628	C2CD4B
ENSG00000250921	5	4135682	4143648		
ENSG00000215520	1	20525989	20526751	HGNC:36545	RPS4XP4
ENSG00000213942	12	6409637	6410013		
ENSG00000236834	13	19345049	19346749	HGNC:42755	LINC00421
ENSG00000230492	20	23010209	23030785		
ENSG00000277844	CHR_HSCHR15_2_CTG8	66290635	66291180		
ENSG00000255169	11	33804768	33805641		
ENSG00000229731	X	27811885	27812902		
ENSG00000223661	CHR_HSCHR6_MHC_MCF_CTG1	32010892	32018166	HGNC:39752	C4B-AS1
ENSG00000251256	4	54845568	54859241		
ENSG00000231411	Y	10171590	10172725		
ENSG00000246095	4	13546075	13547801	HGNC:27739	LINC01096
ENSG00000232736	7	35768122	35768640		
ENSG00000215286	X	45913118	45913871		
ENSG00000232692	21	26378552	26471698		
ENSG00000277486	X	135637623	135642756		
ENSG00000233019	CHR_HSCHR6_MHC_MANN_CTG1	29071788	29072563	HGNC:8272	OR2P1P
ENSG00000215372	8	7355517	7385558	HGNC:37134	ZNF705G
ENSG00000275815	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54754998	54767346	HGNC:16344	KIR2DP1
ENSG00000276947	21	38919061	38919521		
ENSG00000242358	4	16256308	16256555	HGNC:35922	RPS21P4
ENSG00000248317	4	54943630	54956818		
ENSG00000275288	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54724497	54867235	HGNC:6338	KIR3DL1
ENSG00000270704	15	24984864	24985173	HGNC:32725	SNORD64
ENSG00000257647	15	25027736	25032047		
ENSG00000228990	CHR_HSCHR6_MHC_SSTO_CTG1	28969980	28971310	HGNC:6434	KRT18P1
ENSG00000196557	16	1153241	1221771	HGNC:1395	CACNA1H
ENSG00000129562	14	22564905	22589269	HGNC:2664	DAD1
ENSG00000100292	22	35380361	35394214	HGNC:5013	HMOX1
ENSG00000134597	X	130401969	130413343	HGNC:24282	RBMX2
ENSG00000278306	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54782354	54796789	HGNC:6335	KIR2DS3
ENSG00000155622	X	52369030	52375680	HGNC:30680	XAGE2B
ENSG00000234613	X	45913267	45917040		
ENSG00000177689	X	27807990	27823014	HGNC:25377	MAGEB10
ENSG00000142632	1	16197854	16212609	HGNC:26604	ARHGEF19
ENSG00000233136	4	9215405	9217356	HGNC:44439	USP17L11
ENSG00000227721	21	38894917	38895252	HGNC:39642	RPSAP64
ENSG00000214668	7	57014285	57020273	HGNC:43783	SLC29A4P1
ENSG00000263160	CHR_HSCHR21_4_CTG1_1	33432485	33489568	HGNC:1280	TMEM50B
ENSG00000254983	11	12303533	12308216		
ENSG00000278197	Y	25009700	25010769		
ENSG00000232807	10	5934270	5945900		
ENSG00000276084	CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	54724447	54736085	HGNC:16312	KIR3DL3
ENSG00000261671	10	22257786	22258548		
ENSG00000270552	10	42747544	42748687	HGNC:32182	DUXAP3
ENSG00000238110	9	87944276	87945023		
ENSG00000261659	16	689001	692554		
ENSG00000229925	21	38888772	38903905		
ENSG00000083750	X	55717739	55758774	HGNC:19901	RRAGB
ENSG00000241269	7	5419827	5420767		
ENSG00000235285	13	44146470	44158222	HGNC:41492	SMIM2-IT1
ENSG00000028137	1	12167003	12209228	HGNC:11917	TNFRSF1B
ENSG00000277835	CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	54830630	54842447	HGNC:16343	KIR3DP1
ENSG00000260394	16	678504	679777		
ENSG00000225039	13	30419519	30422237	HGNC:49061	LINC01058
ENSG00000183114	1	20552439	20555010	HGNC:31791	FAM43B
ENSG00000224602	21	16121310	16121644	HGNC:23776	RPS26P5
ENSG00000223394	9	33786528	33786828	HGNC:12211	TRBV29OR9-2
ENSG00000122543	7	5879827	5886362	HGNC:8105	OCM
ENSG00000206314	CHR_HSCHR6_MHC_QBL_CTG1	32148372	32153129	HGNC:13945	GPSM3
ENSG00000198026	20	45948653	45972172	HGNC:15807	ZNF335
ENSG00000232326	CHR_HSCHR6_MHC_SSTO_CTG1	32912700	32929495	HGNC:44	TAP2
ENSG00000214374	6	27965175	27965514	HGNC:18724	RPLP2P1
ENSG00000197774	16	1773207	1781708	HGNC:27289	EME2
ENSG00000139656	13	44143543	44161257	HGNC:28776	SMIM2
ENSG00000120686	13	38349849	38363619	HGNC:20597	UFM1
ENSG00000258744	14	24501594	24508688		
ENSG00000174197	15	41621224	41773081	HGNC:14010	MGA
ENSG00000277850	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54803411	54814521	HGNC:6332	KIR2DL4
ENSG00000229079	9	42959280	42960066		
ENSG00000231369	22	26886909	26887548		
ENSG00000205622	21	38877291	38956467		
ENSG00000100985	20	46008908	46016561	HGNC:7176	MMP9
ENSG00000225944	13	74828553	74830080	HGNC:39714	RIOK3P1
ENSG00000229234	Y	22209331	22216580	HGNC:38750	RBMY1KP
ENSG00000256513	12	28821975	28825831		
ENSG00000186866	21	45263928	45287898	HGNC:14683	POFUT2
ENSG00000211805	14	22105343	22105846	HGNC:12121	TRAV24
ENSG00000258706	15	19967414	19968352	HGNC:42538	SLC20A1P3
ENSG00000244456	17	20956682	20958404		
ENSG00000184402	20	62143795	62182484	HGNC:15592	SS18L1
ENSG00000270139	21	16417139	16419080		
ENSG00000263037	CHR_HSCHR1_2_CTG31	155246379	155249729	HGNC:7505	MTX1P1
ENSG00000266995	18	12040101	12040300		
ENSG00000198022	X	135673591	135686151		
ENSG00000265099	17	20938023	20938344		
ENSG00000226384	CHR_HSCHR6_MHC_DBB_CTG1	30898895	30904817	HGNC:4658	GTF2H4
ENSG00000074370	17	3923870	3964464	HGNC:813	ATP2A3
ENSG00000259337	15	19972782	19973218	HGNC:5564	IGHV1OR15-2
ENSG00000224874	CHR_HSCHR6_MHC_MCF_CTG1	33509323	33509840	HGNC:7589	MYL8P
ENSG00000226398	2	42015625	42025302		
ENSG00000165572	13	41127569	41132746	HGNC:25340	KBTBD6
ENSG00000215560	Y	22296798	22298876	HGNC:16482	TTTY5
ENSG00000262152	16	2988961	2994509	HGNC:27549	LINC00514
ENSG00000221988	6	32153441	32163680	HGNC:9326	PPT2
ENSG00000241204	8	70424125	70424576		
ENSG00000230022	13	21530690	21531323	HGNC:3784	FNTAP2
ENSG00000235481	9	33785950	33818795	HGNC:49911	UBE2R2-AS1
ENSG00000276093	20	60083360	60083872		
ENSG00000230372	6	25061625	25063507		
ENSG00000238071	CHR_HSCHR6_MHC_QBL_CTG1	31532567	31533401	HGNC:39771	DDX39B-AS1
ENSG00000226844	CHR_HSCHR6_MHC_COX_CTG1	29265149	29266108	HGNC:8279	OR2U2P
ENSG00000271632	14	19199763	19200279		
ENSG00000237551	7	96283357	96283804		
ENSG00000086288	7	37848597	37900401	HGNC:16473	NME8
ENSG00000257599	12	29389294	29487488	HGNC:44484	OVCH1-AS1
ENSG00000227399	9	92006062	92006544		
ENSG00000231704	7	6081103	6093085		
ENSG00000224207	4	102734358	102734612		
ENSG00000267726	18	57169615	57171194		
ENSG00000102547	13	49308650	49444126	HGNC:20290	CAB39L
ENSG00000236515	CHR_HSCHR6_MHC_SSTO_CTG1	33594767	33597736	HGNC:28323	ZBTB9
ENSG00000220793	16	9156402	9156881	HGNC:35614	RPL21P119
ENSG00000274481	1	1583510	1583909		
ENSG00000225137	10	50264978	50266815	HGNC:45012	DYNC1I2P1
ENSG00000278824	5	71754378	71756301		
ENSG00000166408	11	7772890	7773814	HGNC:14779	OR5P1P
ENSG00000070610	9	35736866	35749228	HGNC:18986	GBA2
ENSG00000225212	18	8545635	8546817	HGNC:33498	AKR1B1P6
ENSG00000241981	4	102662611	102663073		
ENSG00000176716	11	7728400	7729337	HGNC:14804	OR10AB1P
ENSG00000159961	17	3420568	3421533	HGNC:8284	OR3A3
ENSG00000185972	9	36169394	36171334	HGNC:1568	CCIN
ENSG00000276668	11	7699562	7699988		
ENSG00000186056	1	30718504	30726827	HGNC:40364	MATN1-AS1
ENSG00000251288	4	102751401	102752641		
ENSG00000206279	CHR_HSCHR6_MHC_QBL_CTG1	33247394	33258105	HGNC:2681	DAXX
ENSG00000267418	19	9182369	9183048	HGNC:49170	TCEB1P29
ENSG00000169184	22	27748277	27801498	HGNC:7180	MN1
ENSG00000169435	4	73571550	73620631	HGNC:20796	RASSF6
ENSG00000176635	22	30080174	30177075	HGNC:28383	HORMAD2
ENSG00000166143	15	40815445	40828709	HGNC:14953	PPP1R14D
ENSG00000132801	20	45857617	45879122	HGNC:16157	ZSWIM3
ENSG00000276459	CHR_HSCHR19KIR_LUCE_A_HAP_CTG3_1	54724459	54767860	HGNC:6331	KIR2DL3
ENSG00000224906	12	6438498	6438852		
ENSG00000079101	18	596988	650334	HGNC:2096	CLUL1
ENSG00000185313	3	38696802	38794010	HGNC:10582	SCN10A
ENSG00000173372	1	22636506	22639608	HGNC:1241	C1QA
ENSG00000237957	X	120963026	120966348	HGNC:33286	CT47A5
ENSG00000269466	5	17655129	17655538		
ENSG00000229380	7	561958	565619		
ENSG00000273951	20	41485571	41486225		
ENSG00000276945	5	61145846	61146376		
ENSG00000173811	3	42732575	42746768	HGNC:41142	CCDC13-AS1
ENSG00000260763	5	4436850	4440259		
ENSG00000204682	10	21492658	21497262	HGNC:31448	CASC10
ENSG00000188120	Y	23129355	23199094	HGNC:2682	DAZ1
ENSG00000259531	15	49365124	49366685		
ENSG00000248971	4	102728746	102730171	HGNC:39880	KRT8P46
ENSG00000106809	9	92383967	92404696	HGNC:8126	OGN
ENSG00000251296	4	10167159	10167765		
ENSG00000214976	21	16094415	16095372	HGNC:12673	VDAC2P1
ENSG00000068394	X	49113389	49123801	HGNC:30677	GPKOW
ENSG00000261799	12	273954	277123		
ENSG00000275170	21	14019060	14020725		
ENSG00000216629	6	27977150	27978075	HGNC:15071	OR2W4P
ENSG00000160182	21	42362282	42366594	HGNC:11755	TFF1
ENSG00000168490	8	22219704	22232341	HGNC:16865	PHYHIP
ENSG00000271172	4	25220403	25220913		
ENSG00000228684	CHR_HSCHR6_MHC_MANN_CTG1	32884471	32885407	HGNC:4946	HLA-DQB3
ENSG00000253389	8	41660991	41665566		
ENSG00000230352	20	59360927	59364773		
ENSG00000254619	11	33810145	33811178		
ENSG00000254514	11	45582525	45583474		
ENSG00000237786	6	13486294	13486852	HGNC:40956	GFOD1-AS1
ENSG00000254061	8	33436268	33436700		
ENSG00000224251	10	4995488	4997380		
ENSG00000224604	2	16853820	16855284		
ENSG00000144619	3	2098813	3057956	HGNC:2174	CNTN4
ENSG00000231953	1	25208139	25208869		
ENSG00000162592	1	3752398	3771645	HGNC:26546	CCDC27
ENSG00000274601	X	135710095	135710377		
ENSG00000226701	10	72189941	72190576		
ENSG00000232258	16	8569500	8589838	HGNC:33227	TMEM114
ENSG00000234646	20	23031542	23039236		
ENSG00000249878	5	61831947	61833024		
ENSG00000224471	X	102799563	102799883		
ENSG00000233895	20	19757708	19809675		
ENSG00000237099	13	82823131	82824136	HGNC:39710	GYG1P2
ENSG00000169991	1	18904281	18956686	HGNC:27006	IFFO2
ENSG00000275250	4	34714270	34714598		
ENSG00000226955	3	32592972	32593312		
ENSG00000261199	16	63180610	63181071	HGNC:44536	UBE2FP2
ENSG00000225644	6	33389374	33389475	HGNC:33460	RPL35AP4
ENSG00000250416	4	35487812	35489750	HGNC:41954	SEC63P2
ENSG00000224078	15	24978583	25419462	HGNC:37462	SNHG14
ENSG00000225611	3	42770612	42773635		
ENSG00000187950	12	29412474	29497686	HGNC:23080	OVCH1
ENSG00000236542	20	25669857	25670386	HGNC:45084	MED28P7
ENSG00000260541	16	1841020	1843547		
ENSG00000223537	6	109487906	109506800		
ENSG00000233132	8	7264526	7267536	HGNC:32251	FAM90A3P
ENSG00000253321	5	90353037	90356609		
ENSG00000270166	9	84078584	84078857		
ENSG00000273154	20	63708864	63739103		
ENSG00000118564	4	15604539	15681679	HGNC:13602	FBXL5
ENSG00000271298	20	11838355	11838574		
ENSG00000275239	9	41657708	41699072		
ENSG00000205899	17	1270559	1271460	HGNC:35126	BHLHA9
ENSG00000232419	Y	8704472	8705283	HGNC:18843	TTTY19
ENSG00000231538	2	114828432	114833548	HGNC:40939	DPP10-AS3
ENSG00000237628	X	102797531	102798128		
ENSG00000228480	16	26354796	26358355		
ENSG00000239829	3	87323268	87324723	HGNC:33377	KRT8P25
ENSG00000251342	5	76078666	76079763		
ENSG00000233699	Y	8683370	8683878	HGNC:18842	TTTY18
ENSG00000265204	18	24076794	24099320		
ENSG00000118640	2	85561562	85582031	HGNC:12647	VAMP8
ENSG00000273212	22	19456503	19456962		
ENSG00000230493	17	19215801	19222527		
ENSG00000130766	1	28259527	28282491	HGNC:20746	SESN2
ENSG00000172554	2	950868	1367613	HGNC:13741	SNTG2
ENSG00000232348	Y	8638294	8644842	HGNC:38724	LINC00279
ENSG00000229759	3	48256350	48256938	HGNC:29740	MRPS18AP1
ENSG00000250579	5	5132780	5140054		
ENSG00000227528	13	60012751	60044357	HGNC:39915	DIAPH3-AS1
ENSG00000164818	7	726701	786475	HGNC:26013	HEATR2
ENSG00000255433	11	56848478	56878078		
ENSG00000274214	18	14253548	14254075		
ENSG00000256394	4	155829729	155866273	HGNC:17537	ASIC5
ENSG00000069122	6	46852512	46954943	HGNC:19030	GPR116
ENSG00000182334	11	7825037	7825972	HGNC:14784	OR5P3
ENSG00000237356	14	53169054	53687258		
ENSG00000237310	7	66493706	66495474		
ENSG00000233158	2	94912432	94912831	HGNC:36240	RPS24P6
ENSG00000170191	20	25612935	25624175	HGNC:16140	NANP
ENSG00000272975	17	10383144	10623886	HGNC:50609	MYHAS
ENSG00000249112	5	124707827	124710737		
ENSG00000004864	7	96120220	96322147	HGNC:10983	SLC25A13
ENSG00000236380	3	21405737	21406508	HGNC:13638	VENTXP7
ENSG00000235149	4	185918140	185919460		
ENSG00000272128	8	38099471	38099931		
ENSG00000022277	20	56468585	56519449	HGNC:15890	RTFDC1
ENSG00000253109	5	174039751	174040240		
ENSG00000228968	2	104125268	104147229		
ENSG00000230970	3	42702653	42706662	HGNC:42439	HHATL-AS1
ENSG00000233110	4	185587909	185594003		
ENSG00000123576	X	104250038	104254933	HGNC:14865	ESX1
ENSG00000247240	15	74461265	74481302	HGNC:48614	UBL7-AS1
ENSG00000236053	13	109310135	109311773	HGNC:49105	LINC01067
ENSG00000141664	18	62523007	62587709	HGNC:22916	ZCCHC2
ENSG00000258899	14	20043916	20044827	HGNC:15361	OR4U1P
ENSG00000253944	8	17801345	17861069		
ENSG00000236691	3	103240987	103241230	HGNC:31362	NDUFA4P2
ENSG00000228301	X	93573834	93574579	HGNC:36105	RPL7P55
ENSG00000144792	3	44578223	44599694	HGNC:26720	ZNF660
ENSG00000215906	1	22953043	22965338	HGNC:35445	LACTBL1
ENSG00000227463	9	84063443	84094577		
ENSG00000241350	7	77011551	77015853	HGNC:9125	PMS2P11
ENSG00000223595	7	123230120	123230741	HGNC:44005	LYPLA1P1
ENSG00000258175	14	28592223	28613623		
ENSG00000224583	6	74642384	74652002		
ENSG00000272524	2	10120734	10121065		
ENSG00000196796	16	29038602	29052726		
ENSG00000224666	6	36386831	36393462		
ENSG00000150054	10	28050993	28334486	HGNC:26542	MPP7
ENSG00000235224	X	53113018	53113274		
ENSG00000241352	12	12850982	12851740		
ENSG00000153896	19	34758076	34773229	HGNC:26408	ZNF599
ENSG00000229533	7	19144293	19146253		
ENSG00000258469	14	55298644	55299231	HGNC:43616	CHMP4BP1
ENSG00000162004	16	722582	726954	HGNC:14153	CCDC78
ENSG00000239524	19	5277734	5278133	HGNC:35903	RPL32P34
ENSG00000269787	19	14903232	14904138	HGNC:8366	OR7A3P
ENSG00000225680	14	53599832	53614026		
ENSG00000276144	12	7115736	7116486		
ENSG00000241933	3	57693205	57696596		
ENSG00000229926	9	138137095	138143864		
ENSG00000147246	X	114584078	114910061	HGNC:5295	HTR2C
ENSG00000264745	18	23994213	24015339		
ENSG00000223566	7	63567743	63585075	HGNC:34014	TNRC18P2
ENSG00000242431	4	47490967	47491471		
ENSG00000261822	15	42567031	42569994		
ENSG00000205085	7	128672288	128686875	HGNC:27998	FAM71F2
ENSG00000235271	22	26903292	26920611		
ENSG00000226870	X	71719142	71721278		
ENSG00000263307	16	11851649	11895611		
ENSG00000131724	X	118727572	118794539	HGNC:5974	IL13RA1
ENSG00000260004	16	65601101	65601698		
ENSG00000256176	12	31311617	31312029		
ENSG00000136931	9	124481236	124507430	HGNC:7983	NR5A1
ENSG00000261015	6	3024791	3027434		
ENSG00000257662	14	28593779	28593919	HGNC:37933	EIF4A1P12
ENSG00000109323	4	102631488	102760994	HGNC:6831	MANBA
ENSG00000249917	8	115950511	116325059	HGNC:43645	LINC00536
ENSG00000234019	X	53093710	53094858		
ENSG00000261216	16	11908208	11908916		
ENSG00000258809	14	64358768	64379318		
ENSG00000174010	X	23983720	24027186	HGNC:29347	KLHL15
ENSG00000259098	15	22258138	22258848		
ENSG00000231340	X	53142832	53143913	HGNC:155	ACTG1P10
ENSG00000164512	5	56099678	56233359	HGNC:25681	ANKRD55
ENSG00000275764	12	27037100	27038960		
ENSG00000226132	14	53612724	53613405	HGNC:36338	RPS3AP46
ENSG00000242882	4	173419245	173420137	HGNC:35483	RPL5P11
ENSG00000165120	7	130207860	130216843	HGNC:29580	SSMEM1
ENSG00000211749	7	142645961	142646467	HGNC:12201	TRBV23-1
ENSG00000225833	X	15602881	15621484		
ENSG00000278383	20	25680781	25681246		
ENSG00000166262	15	49326962	49620931	HGNC:26543	FAM227B
ENSG00000197172	X	152766136	152769747	HGNC:6804	MAGEA6
ENSG00000264278	18	76794732	76822295		
ENSG00000258683	14	82788478	82796221		
ENSG00000228877	9	134527182	134545244		
ENSG00000274447	19	5294247	5294696		
ENSG00000176495	11	59364412	59365448	HGNC:15255	OR5AN1
ENSG00000213440	21	44046347	44047041	HGNC:4742	H2AFZP1
ENSG00000126500	11	64103188	64119173	HGNC:3760	FLRT1
ENSG00000249356	4	119069324	119070297		
ENSG00000253671	8	17808941	17820868		
ENSG00000227150	9	134552738	134553897		
ENSG00000115902	2	64988477	65023865	HGNC:10942	SLC1A4
ENSG00000253614	8	57261226	57266613		
ENSG00000271758	11	7704628	7882947		
ENSG00000234290	5	132468890	132473043		
ENSG00000198028	19	9466507	9498607	HGNC:26484	ZNF560
